,PARK_NAME,PARK_TYPE,SUB_TYPE,AREA_HECTARES,ACCESS_POINTS
786,BOB REID PARK AND RECREATIONAL TRAIL,ENVIRONMENTAL PARKS,LINKS,0.7140000000000001,"STEELES AVE E, TURTLECREEK BLVD"
787,PRINCESS POINT POND EAST,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.906,"MIRACLE TRAIL, ROBERT PARKINSON DR,SANDALWOOD PKY W"
788,GEORGE T WARD VISTA,ENVIRONMENTAL PARKS,VISTA,0.024,BONNIEVIEW CRT
789,TRANS CANADA PIPELINE WEST,ENVIRONMENTAL PARKS,LINK,0.642,STILLMAN DR
790,HENRY VERSCHUREN PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.361,"LOCKWOOD RD, VENTURA AVE, HENRY VERSCHUREN AVE"
791,DAVID HEGGIE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.6630000000000003,"INGLEBOROUGH DR, FORT WILLIAMS DR"
792,MOUNTAINASH PARK WEST,NEIGHBOURHOOD PARKS,PARKETTE,0.071,"SWITCHBACK TRAIL, SANDALWOOD PRKY, MOUNTAINASH RD"
793,STEPHEN LLEWELLYN RECREATIONAL TRAIL SOUTH,ENVIRONMENTAL PARKS,VALLEY,0.185,"ANDES CT, MOUNTAINASH RD, TORBRAM RD, AIRPORT RD, COUGAR CT, MOUNTAINBERRY RD, EAGLERIDGE DR"
794,JAMES WILLIAM HEWSON PARK,NEIGHBOURHOOD PARKS,PARKETTE,2.898,"SUNNY MEADOW BLVD, MARBLESEED CRES, WILD INDIGO CRES"
795,CHINGUACOUSY WELLNESS CENTRE,LEASED RECREATION FACILITY LANDS,LEASED RECREATION FACILITY LANDS,2.4530000000000003,"PETER ROBERTSON BLVD, SUNNY MEADOW BLVD"
796,CLAIREVILLE CONSERVATION RESERVOIR SOUTH,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,9.72,
797,AF CAMPBELL CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,2.207,"CHINGUACOUSY RD, RIDGEMORE CRES"
798,MAJOR GEORGE WRIGHT VISTA,ENVIRONMENTAL PARKS,VISTA,0.152,"QUEEN MARY DR, DELLS CRES, WHISPERING HILS GATE, BONISTEL CRES,"
799,LAKELANDS PARK,NEIGHBOURHOOD PARKS,LOCAL,10.161,"STONEYLAKE AV, SOUTHLAKE BV"
800,FLETCHERS POND SOUTH,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.718,"BOVAIRD DR W, MONACO CRT"
801,LUNDY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.463,CHINGUACOUSY RD
802,JAMES SCOTT POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.319,PEAK DR
803,FLETCHERS MEADOW POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.7730000000000001,"CHINGUACOUSY RD, BOVAIRD DR W, RIVERMERE CRT"
804,STEPHEN LLEWELLYN RECREATIONAL TRAIL,ENVIRONMENTAL PARKS,VALLEY,10.383,"ANDES CT, MOUNTAINASH RD, TORBRAM RD, AIRPORT RD, COUGAR CT, MOUNTAINBERRY RD, EAGLERIDGE DR"
805,MOUNTAINASH PARK E,NEIGHBOURHOOD PARKS,PARKETTE,1.625,"SWITCHBACK TRAIL, SANDALWOOD PRKY, MOUNTAINASH RD"
806,MANSWOOD PARK NORTH,ENVIRONMENTAL PARKS,VALLEY,0.22,MANSWOOD CRES
807,KORETZ PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.4480000000000002,TESSLER CRES
808,CEDAR LAKE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.109,"CHINGUACOUSY RD, CEDAR LAKE CRES"
809,EDWARD AND HARRY DALE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.659,TESSLER CRES
810,AURORA PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.22699999999999998,"AURORA PL, LUMINOUS CRT"
811,FLETCHERS CREEK POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.691,VALLEYPARK CRES
812,GOURLEY POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.6060000000000003,"WANLESS DR, MCLAUGHLIN RD"
813,SUNFOREST POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.332,FURROWS END
814,VISION CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,3.185,"VISION WAY, WHITWELL DR, AIRPORT RD"
815,LOAFERS LAKE PARK,COMMUNITY PARKS,COMMUNITY PARK,16.794,"LOAFER'S LAKE LANE, SANDALWOOD PY E"
816,TORBRAM PARK,ENVIRONMENTAL PARKS,VALLEY,1.933,"TORBRAM RD, WALKER DR"
817,TORBRAM PARK SOUTH,ENVIRONMENTAL PARKS,VALLEY,2.4930000000000003,NO ACCESS - DRAINAGE CHANNEL
818,DELTA PARK CHANNEL NORTH,ENVIRONMENTAL PARKS,CHANNEL,1.2229999999999999,CLARK BLVD
819,VALLEYLANDS 836,ENVIRONMENTAL PARKS,VALLEY,5.781000000000001,
820,FATHER EUGENE OREILLY PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.501,"MAPLE SYRUP ST, LEO AUSTIN RD, SISTER OREILLY RD"
821,WILLIAMS PARKWAY OPERATIONS CENTRE,OPERATIONS/ADMINISTRATION FACILITIES,OPERATIONS/ADMINISTRATION FACILITY,14.192,"CHRYSLER DR, WILLIAMS PKY"
822,VALLEYBROOK PARK,ENVIRONMENTAL PARKS,VALLEY,19.579,"WILLIAMS PKWY, CENTRE ST N, BARONWOOD CRT"
823,CAMP ROBOGI,CITY PARKS,CITY PARK,10.821,
824,BRAMPTON TRANSIT CLARK FACILITY,OPERATIONS/ADMINISTRATION FACILITIES,OPERATIONS/ADMINISTARTION FACILITY,3.495,CLARK BLVD
825,CCA EBENEZER RESOURCE MANAGEMENT TRACT,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,198.61900000000003,"GOREWAY DR, QUEEN ST E, MCVEAN DR"
826,PRINCESS POINT POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.426,"BUICK BLVD, KEMPSFORD CRES, "
827,COLONEL WILLIAM CLAUS VALLEY SOUTH,ENVIRONMENTAL PARKS,VALLEY,16.197,"PARLIAMENT HILL PL, PALI DR, BLOOMSBURY AVE, DESERTPINE CRT"
828,ORNSTOCK POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.723,
829,PEEL VILLAGE PARK,NEIGHBOURHOOD PARKS,LOCAL,3.9339999999999997,"MELVILLE CRES, FERNDALE CRES, PALGRAVE CRES, LOCKTON CRES, ERINDALE CRES, TERRA COTTA CRES, CALEDON CRES, WATSON CRES, ROBERTS CRES, NORVAL CRES"
830,ECCLES VALLEY,ENVIRONMENTAL PARKS,VALLEY,13.280999999999999,
831,HESP VALLEY,ENVIRONMENTAL PARKS,VALLEY,10.179,"EDENBROOK HILL DR, RIVER ROCK CRES"
832,LAIDLAW PARK,NEIGHBOURHOOD PARKS,LOCAL,0.848,"ROYAL WEST DR, UNWIND CRES"
833,WETLAND 535,ENVIRONMENTAL PARKS,WETLAND,,
834,SAM RAYSON VALLEY,ENVIRONMENTAL PARKS,VALLEY,16.570999999999998,KENNEDY RD
835,RIVERSTONE POND SOUTH,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,,HAWKRIDGE TRAIL
836,ORNSTOCK POND EAST,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.6530000000000005,BECKENROSE CRT
837,ALLAN KERBEL POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.0659999999999998,BRICKYARD WAY 
838,ALLAN KERBEL PARK,NEIGHBOURHOOD PARKS,LOCAL,3.332,"BRICKYARD WAY, PRESSED BRICK DR, PRIVATE RD"
